ZERI,variants,new
,"de verrous, d'entrees de serrures, de pentures et de poignees, de diverses époques",True
,COMPLETE DES MEMOIRES RELATIFS,True
,"de gravures d'apres Turner, Stanfield, Arnold, Fielding, etc",True
,des Memoires relatifs a la Revolution d'Angleterre,True
,des por,True
,particuliere de Thaulow nous revele une des plus touchantes qualites de son cour,True
,particuliere,True
,DE QUARANTE-TROIS RAPES A TABAc en ivoire ou en os sculpte,True
,Emile Zola,True
,"Lecarpentier,1866",True
,"de poteries en terre vernissee, vases, coupes, etc",True
,"de petits jouets en terre vernissee dont plusieurs sifflets en forme d'animaux, de tetes humaines,etc",True
,de fragments de faience orientale,True
,"de verrerie,de provenances diverses :Rome, Chypre, France,Venise et Boheme",True
,"d'amulettes composees de dents, griffes, ou os d'animaux ou de poissons montes en argent",True
,"d'amulettes en pierres dures diverses,montees en argent",True
,"de cuilleres en bronze, cuivre, argent, dont deux formees de coquilles montees en argent dore",True
,"de jouets figurant des chandeliers et portecierges de formes et de modeles varies, en bronze et en cuivre",True
,"de jouets en cuivre, bronze, etain, plomb, etc",True
,de clefs d'epoques variees en bronze,True
,d'éperons de formes et d'epoques diverses,True
,detriers dont un de forme triangulaire du xesiecle,True
,de dagues de formes variees,True
,de gravures,True
,de Cartes de visites du xvinre siecle et du commencement du xixe,True
,de Gravures de mode,True
,"il y a Chauchard, Sauvageot, Goncourt,il y avait aussi Dolent ! Quel criterium? son gout ! Il dit d'un tableau de Jeanniot : ( Je ne sais pas pourquoi c'est si bien, mais que c'est bien !  (phrase qui est peut-etre le type de la bonne phrase de critique d'art)",True
,"regorge de ces choses curieuses qui sont non seulement belles, mais importantes pour lart, parce qu'elles denotent bien un moment de l'histoire de l'art, un etat de lame du peintre ; aussi son gout lui a fait souvent decrocher dans latelier la pochade admirable, la minute heureuse, eut dit",True
,"de quarante-quatre petits vases, flacons, tabatieres, etc",True
,"DE VINGT ET UN NoYAUx de dimensions variees, sculptes sur les deux faces de bustes de personnages avec inscriptions, et de sujets divers mythologiques et religieux",True
,"d'objets d'art et de ableaux : Chappey,Lelong, Schevitch,Muhlbacher, Sedelmayer, Moreau, Nelaton, Desmottes, Rougier,Leroux, Castellani, Tollin, Selliere,comte de La Beraudiere,Odiot, Ch",True
,"du prince imperial, 36 vol",True
,Saulini,True
,Warneck,True
,"DE CLocHETTEs,rondes et carrees, dont quelques-unes avec",True
,"DE DEs A JoUER, en ivoire et en os, plusieurs avec de belles patines vertes",True
,"DE PIoNs DE JEu en pates multicolores et de formes diverses, les uns coniques, les autres hemispheriques et un peu aplatis",True
