catalogue_id,prev_num,current_num,title,excerpt
documents/BO0624_4389,28,5,II. LYDEKKER R. The Great et Small Game of Europe... Lon-,"- 5II. LYDEKKER R. The Great et Small Game of Europe... Lon-
- don, 1901."
documents/BO0624_4389,5,512,ROOSEVELT Theodore. Big Game Hunting in the Rokies,"512. ROOSEVELT Theodore. Big Game Hunting in the Rokies
- and on the great Plains. New York, 1899. (Con ritr. dell'Autore)."
documents/BO0624_4389,524,16,"Dedication of the Monuments. Harrisburg, 1893, voll. 2.","16. Dedication of the Monuments. Harrisburg, 1893, voll. 2."
documents/BO0624_4389,16,6,") RUTHERFORD Mark. The Revol. in Tanner's Lane. London, 1887.","- 6) RUTHERFORD Mark. The Revol. in Tanner's Lane. London, 1887.
- c) ADAMS BROOKS. America's Economic Supremacy. New York, 1900."
documents/BO0624_4389,6,525,"a) DOOLEY Mr. Opinions. London, Heinemann, 1902. Dooley).","525. a) DOOLEY Mr. Opinions. London, Heinemann, 1902.
- b) Mr. DOOLEY in Peace and in War. Boston, 1899.
- c) Mr. DOOLEY Philosophy. London, 1900. (Con ritratto del 22. Dooley).
- d) DUNNE F. P. Mr. Dooley in the Hearts of His Coun trymen. London, 1900.
- f) KIDD B. Social Evolution. New York, 1895.
- e) FROTHINGHAM E. L. Ontology. Boston, 1864."
documents/BO0624_4389,528,5,1742.,"5. 1742.

Vi è unito:

- b) - De Geographia Scandinaviae veteri et historiis gothicis"
documents/BO0624_4389,5,2,"Ibid, 1726.","2. Ibid, 1726.
- c) SMITH A. STROTHER. The Tiber and its tributaries. Geneva, 1871."
documents/BO0624_4389,2,529,"LAURI Jacopo. Antiquae Urbis splendor, hoc est precipue eiusdem Templa, Amphitheatra... Mausolea, aliaque sumptuosiora Aedificia... Romae, 1612, in-4° obl., con 138 tavole in rame.","529. LAURI Jacopo. Antiquae Urbis splendor, hoc est precipue eiusdem Templa, Amphitheatra... Mausolea, aliaque sumptuosiora Aedificia... Romae, 1612, in-4° obl., con 138 tavole in rame."
documents/BO0624_4389,533,6,") CICCHITTI-SURIANI Filippo. La religione nella Scienza e la tirannide della coscienza, con pref. di G. B. SAVARESE. Roma, 1885. (Due esemplari).","- 6) CICCHITTI-SURIANI Filippo. La religione nella Scienza e la tirannide della coscienza, con pref. di G. B. SAVARESE. Roma, 1885. (Due esemplari)."
documents/BO0624_4389,6,11,"prigioniero dell'Inquisizione romana. Torino,","11. prigioniero dell'Inquisizione romana. Torino,"
documents/BO0624_4389,11,534,"a) POMPONIO LETO. Otto mesi a Roma durante il Concilio Vaticano. Firenze, 1873","534. a) POMPONIO LETO. Otto mesi a Roma durante il Concilio Vaticano. Firenze, 1873"
